date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:55	2441/2441	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:13%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fhouse-of-god%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed9566.json	(from http://video.sproutfund.org/house-of-god/)
13:10:55	2632/2632	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:53%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fgabis-playdate-place%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed0fe7	(from http://video.sproutfund.org/gabis-playdate-place/)
13:10:56	2541/2541	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:14%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fhouse-stories-giovannitti-house%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed3368.json	(from http://video.sproutfund.org/house-stories-giovannitti-house/)
13:10:56	2577/2577	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:54%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fhouse-of-god%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed22a1	(from http://video.sproutfund.org/house-of-god/)
13:10:56	2677/2677	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:54%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fhouse-stories-giovannitti-house%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embede82c	(from http://video.sproutfund.org/house-stories-giovannitti-house/)
13:10:57	2533/2533	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:15%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fhug-project-helping-us-grow%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed7d99.json	(from http://video.sproutfund.org/hug-project-helping-us-grow/)
13:10:57	2594/2594	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:16%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Finvitation-to-the-soil-building-frontier%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed797c.json	(from http://video.sproutfund.org/invitation-to-the-soil-building-frontier/)
13:10:58	2669/2669	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:55%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Fhug-project-helping-us-grow%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed724b	(from http://video.sproutfund.org/hug-project-helping-us-grow/)
13:10:58	2730/2730	U--MCZ	200	updated ('OK')	text/xml	date:Sat,%2027%20May%202017%2017:10:56%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Finvitation-to-the-soil-building-frontier%2F&format=xml	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed9461	(from http://video.sproutfund.org/invitation-to-the-soil-building-frontier/)
13:10:58	2436/2436	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:18%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Flife-over-easy%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed1682.json	(from http://video.sproutfund.org/life-over-easy/)
13:10:58	109873/109873	---MC-	200	added ('OK')	application/rss+xml	etag:%22da4022eb69d23d1a33b081e69f395423-gzip%22	http://video.sproutfund.org/author/matt/feed/	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/author/matt/feed/index.html	(from http://video.sproutfund.org/author/matt/)
13:10:59	2430/2430	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:19%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Flifes-work%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embed5f34.json	(from http://video.sproutfund.org/lifes-work/)
13:10:59	2610/2610	U-----	200	untouched ('')	application/json	date:Sat,%2027%20May%202017%2016:17:20%20GMT	http://video.sproutfund.org/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvideo.sproutfund.org%2Flost-community-of-pittsburghs-east-end%2F	D:/Backup/WinHTTrack/filmandvideo/video.sproutfund.org/wp-json/oembed/1.0/embeda129.json	(from http://video.sproutfund.org/lost-community-of-pittsburghs-east-end/)
